,registration number,name,established date,country,number of employs,purpose,phone number,email
174,f5829a8e-6d2d-46cd-9b4e-a5bd00decc5c,Dialog Semiconductor plc,1981-10-01,United Kingdom,10,,832-307-6298,reach@dialogsemiconductorplc.org
175,a5b40561-140f-48c7-b17f-ac1a18a83144,Meridian Gold Inc.,1960-10-16,Canada,33,,618-538-0135,info@meridiangoldinc.org
176,f4c55dcc-3d69-4143-b12f-ffb14d5177a2,Amvescap plc,1991-09-16,United Kingdom,14,,412-121-9716,reach@amvescapplc.org
177,9e468bce-27f0-4a84-91f7-39045b99b727,Triband Resource Corp.,1994-02-16,Canada,11,,427-132-6550,reach@tribandresourcecorp.org
178,be3bfaa0-6c45-4947-b144-02608482805f,BASF Aktiengesellschaft,1987-09-22,Germany,30,,433-584-0978,headquarters@basfaktiengesellschaft.org
179,a1ca737e-89cb-4435-a192-1e178b925c24,Digital Star Inc.,1979-01-28,British Virgin Islands,43,,765-157-2016,contact@digitalstarinc.org
180,2b421e96-1691-4313-92f8-6f9c94498314,KPNQwest N.V.,1962-12-06,Netherlands,36,,336-610-0142,hr@kpnqwestnv.org
181,154a14b2-4ae8-4695-8e9a-07b6e5070f7d,Schroder Ventures International Investment Trust,1965-05-19,United Kingdom,16,,765-165-8256,sales@schroderventuresinternationalinvestmenttrust.org
182,84c681ff-12af-49b6-9ed7-fa5fc7927353,Smartlogik Group plc,1986-03-03,United Kingdom,20,,435-689-5083,info@smartlogikgroupplc.org
183,932ef30d-5ad0-49d0-87b4-cad09b88f167,Moore Corp. Ltd.,1986-03-22,Canada,6,,526-722-9523,sales@moorecorpltd.org
184,450844b3-4c25-483d-ba0f-f2793bc07cd7,TAT Technologies Ltd.,1979-07-14,Israel,31,,738-582-2813,reach@tattechnologiesltd.org
185,ba420b62-e33a-4920-8f46-4a7a3c8ff0cd,Sungold Entertainment Corp.,1991-03-15,Canada,27,,365-476-0778,headquarters@sungoldentertainmentcorp.org
186,9ac443c2-bbd9-40fe-9e88-0584376c1b4b,Harmony Gold Mining Co. Ltd.,1993-09-01,South Africa,27,,317-664-5263,marketing@harmonygoldminingcoltd.org
187,d8fbe257-22d6-4f85-bed1-72c937f1974d,Commtouch Software Ltd.,1983-12-01,Israel,46,,230-476-8137,sales@commtouchsoftwareltd.org
188,2f0e3e10-02cb-4c1c-ab8f-6946c0ff3cc5,Instrumentarium Corp.,1982-01-02,Finland,40,,930-679-5959,reach@instrumentariumcorp.org
189,629caa37-3ea3-4e52-8cc4-6321db9e111c,"Copamex Industries, S.A. de C.V.",1977-10-12,Mexico,18,,258-151-9801,contact@copamexindustriessadecv.org
190,42a2b455-49e9-42f3-8ae4-fb10d09127c0,Rogers Communications Inc.,1975-12-17,Canada,14,,646-319-3791,headquarters@rogerscommunicationsinc.org
191,7b422d8b-51e4-4b4d-a8d7-7752ddc9cacd,Talisman Enterprise Inc.,1974-12-28,Canada,25,,681-542-7705,hr@talismanenterpriseinc.org
192,ba6c831f-926f-46c9-a156-747208c4dacb,Repsol YPF S.A.,1996-06-18,Spain,22,,514-421-6687,headquarters@repsolypfsa.org
193,475460db-0e0f-4546-8968-5e46e9c144d9,Nettron.com Corp.,1966-06-06,Canada,21,,278-488-3383,info@nettroncomcorp.org
194,1f7afff7-f9c1-4930-872f-02e7b1d20386,AEGON N.V.,1962-11-03,Netherlands,26,,120-813-8968,info@aegonnv.org
195,e19cfa9e-53c0-4798-aa1f-0c4cfe14cb38,Macronix International Co.,1984-10-31,Taiwan,32,,512-145-7832,contact@macronixinternationalco.org
196,45f848a3-834a-484d-aa99-08856ac485a2,MIH Ltd.,1981-08-19,British Virgin Islands,37,,407-361-1057,marketing@mihltd.org
197,70ab997c-53ab-4906-83b3-4c61a5f945bb,Tele Celular Sul Participacoes S.A.,1980-10-04,Brazil,49,,121-278-3626,contact@telecelularsulparticipacoessa.org
198,f6b3be10-cb90-4032-a251-ac21dfe3cfce,Fletcher Building Ltd.,1963-02-04,New Zealand,5,,968-034-9576,hr@fletcherbuildingltd.org
199,d33826a0-7a41-4749-a1e6-f457b52769f5,Head Holding Unternehmensbeteiligung GMBH,1970-08-04,Austria,8,,442-056-4138,headquarters@headholdingunternehmensbeteiligunggmbh.org
200,44712003-7b66-4dc4-9b1f-5eef5208ff6b,"Grupo Azucarero, S.A. de C.V.",1977-09-29,Mexico,38,,980-395-8486,reach@grupoazucarerosadecv.org
201,bb826a12-99d8-4772-ac63-0afc6dde1769,Novo-Nordisk A/S,1989-12-17,Denmark,37,,789-839-9040,sales@novonordiskas.org
202,0af95853-e896-4e06-b05d-c6f02e183c6d,Dynea International Oy,1995-01-15,Finland,50,,371-604-6776,enquiries@dyneainternationaloy.org
203,450844b3-4c25-483d-ba0f-f2793bc07cd7,TAT Technologies Ltd.,1990-04-13,Israel,26,,738-582-2813,enquiries@tattechnologiesltd.org
204,8418aead-ee5b-40ea-bc20-6017ea195e4e,Household Financial Corp. Ltd.,1978-01-18,Canada,21,,675-182-9041,contact@householdfinancialcorpltd.org
205,54cd393d-3702-4456-aff6-1d0594520e6e,Claxson Interactive Group plc,1977-06-27,British Virgin Islands,46,,265-431-6147,enquiries@claxsoninteractivegroupplc.org
206,0b1aa30a-e34f-4222-b8f8-443c09e2f59c,QXL Ricardo plc,1981-11-03,United Kingdom,11,,913-567-5101,contact@qxlricardoplc.org
207,187b4f51-cf87-4f04-bc8a-1e5b3232c821,Magna International Inc.,1966-02-01,Canada,48,,498-365-9647,reach@magnainternationalinc.org
208,7727a44f-2c65-4b36-81a5-c9fb3c24e899,Embotelladora Andina S.A.,1993-01-07,Chile,24,,260-236-4139,headquarters@embotelladoraandinasa.org
209,59c5fb65-8763-44ba-bcb3-865ee5386157,CNOOC Ltd.,1963-03-10,Hong Kong,45,,508-449-5224,marketing@cnoocltd.org
210,4df60892-f790-43aa-8689-71f6855c40e9,Rio Tinto plc,1991-01-09,United Kingdom,9,,566-151-0731,contact@riotintoplc.org
211,5c5215ea-710d-47c5-a36e-8c85eac3c320,"Receptagen, Ltd.",1976-09-20,Canada,31,,497-160-5368,info@receptagenltd.org
212,36096aad-e024-4bf9-97c7-0c2a3deb0de3,Intasys Corp.,1968-07-17,Canada,24,,759-183-6178,info@intasyscorp.org
213,4fe26166-bb77-4a5e-95a6-125021f6a790,Paradigm Geophysical Ltd.,1962-08-16,Israel,23,,980-260-9463,contact@paradigmgeophysicalltd.org
214,ce588702-656d-4248-80c6-e494abb08be7,Thomson Corp,1972-03-31,Canada,5,,583-613-7819,hr@thomsoncorp.org
215,77799089-38d8-4e53-ace9-cfc9b546e489,Rio Narcea Gold Mines Ltd.,1978-04-24,Canada,22,,521-531-3625,enquiries@rionarceagoldminesltd.org
216,0f3be8cf-cdfc-42e9-8033-71e04821f659,Thrilltime Entertainment International Inc.,1968-05-13,Canada,44,,158-597-3940,reach@thrilltimeentertainmentinternationalinc.org
217,600008e6-e572-42c8-83d8-02aaef033d67,BHP Billiton Ltd.,1972-12-20,Australia,20,,491-424-6126,headquarters@bhpbillitonltd.org
218,a97c7618-9ec0-4fed-838c-aa1fdfa8244d,Nokia Corp.,1987-02-06,Finland,23,,647-451-4178,info@nokiacorp.org
219,e194c677-c376-4a29-b993-4bec45791af0,Advantest Corp.,1983-11-20,Japan,39,,173-086-3129,enquiries@advantestcorp.org
220,e8427ad7-c43d-4b13-b357-054b5bd663c8,China Enterprises Ltd.,1965-08-18,Bermuda,44,,208-544-8747,sales@chinaenterprisesltd.org
221,dd5152df-2247-4631-91ea-5281a124ea06,Arch Capital Group Ltd.,1995-03-18,Bermuda,20,,485-137-7082,marketing@archcapitalgroupltd.org
222,02bf80a0-b52d-40dd-8b10-c8620f99b644,Given Imaging Ltd.,1983-10-17,Israel,12,,686-363-3898,sales@givenimagingltd.org
223,3ed5f032-7d02-4742-88a1-669e23222f60,Golden Nugget Exploration Inc.,1963-05-09,Canada,15,,132-740-0832,contact@goldennuggetexplorationinc.org
224,f8d8cd08-92db-4276-8c1d-210e04b52176,Vocaltec Communications Ltd.,1979-10-30,Israel,20,,148-274-0528,marketing@vocalteccommunicationsltd.org
225,f5829a8e-6d2d-46cd-9b4e-a5bd00decc5c,Dialog Semiconductor plc,1975-04-04,United Kingdom,10,,832-307-6298,headquarters@dialogsemiconductorplc.org
226,1b4c4745-a06f-4665-bbbc-70ffe62cd0ad,UPM-Kymmene OYJ,1963-07-30,Finland,44,,289-816-0866,headquarters@upmkymmeneoyj.org
227,f5043f77-5f25-4b0b-8ecd-3a60d1e6eafa,"Nomura Holdings, Inc.",1990-05-17,Japan,30,,336-375-8719,enquiries@nomuraholdingsinc.org
228,9577740c-ea8a-4c6b-832b-dbf74df88e7a,Nur Macroprinters Ltd.,1968-11-30,Israel,40,,853-716-7567,sales@nurmacroprintersltd.org
229,b01524c6-11fe-45a4-901d-d561e29603f5,AstraZeneca plc,1985-07-06,United Kingdom,7,,523-152-0243,marketing@astrazenecaplc.org
230,39069708-8872-40ae-ad7a-bdd117e74381,Hibernia Foods plc,1970-04-20,Ireland,42,,329-613-7003,enquiries@hiberniafoodsplc.org
231,c3cfdc0e-2c0f-4d9c-8142-8acf1f1811d3,Messer Griesheim Holding AG,1973-04-10,Germany,43,,115-297-0324,reach@messergriesheimholdingag.org
232,cf0b0a43-a466-4f66-96f5-50bdf079d002,Arm Holdings plc,1982-07-30,United Kingdom,20,,698-001-9465,contact@armholdingsplc.org
233,e4969536-e0e8-4e00-8ce5-4da22e96825d,Spectrum Signal Processing Inc.,1975-08-18,Canada,38,,680-520-4392,enquiries@spectrumsignalprocessinginc.org
234,9f7f495d-d9be-4fd9-9851-d125b0ebaf11,Cenargo International plc,1976-09-06,United Kingdom,26,,379-136-1405,info@cenargointernationalplc.org
235,3b6290f0-874d-48d2-b3cf-5b626f838cfe,Unibail,1972-01-04,France,37,,825-727-4238,reach@unibail.org
236,3f8c46eb-ad48-4e67-85a2-702b4b5d55c9,Espirito Santo Centrais Eletricas S.A. - Escelsa,1962-07-06,Brazil,26,,516-390-2694,sales@espiritosantocentraiseletricassaescelsa.org
237,df8c1708-691f-4c5b-a9a3-a78562a9c1de,Grupo Industrial Durango S.A. de C.V.,1985-06-07,Mexico,36,,166-287-3871,headquarters@grupoindustrialdurangosadecv.org
238,97e55e04-546c-4eea-8e49-cf9cf60e0515,Consolidated Trillion Resources Ltd.,1974-01-29,Canada,41,,363-581-1446,marketing@consolidatedtrillionresourcesltd.org
239,574295ff-e074-4f66-b9f7-15444e106341,Telex Chile S.A.,1996-04-17,Chile,19,,647-659-4870,marketing@telexchilesa.org
240,20d803e5-6c3b-443a-a5c5-91472a2d49b3,Industrie Natuzzi S.p.A.,1985-05-23,Italy,24,,865-261-4659,reach@industrienatuzzispa.org
241,ddfdd0c9-026e-4f75-a9f9-955c8f4c3b2e,Carlton Communications plc,1967-11-10,United Kingdom,34,,330-657-8219,hr@carltoncommunicationsplc.org
242,7df1b535-1387-4b16-9b1e-bfa9d09bd08b,Infovista S.A.,1964-12-23,France,44,,557-318-3684,enquiries@infovistasa.org
243,68dfd645-9540-4f5f-824e-5a361c4593c3,Healthcare Technologies Ltd.,1978-01-21,Israel,39,,305-211-0620,contact@healthcaretechnologiesltd.org
244,b9ca76ae-cd04-45d3-b309-921e2986c8df,e-Sim Ltd.,1963-03-20,Israel,28,,931-234-2300,info@esimltd.org
245,68dfd645-9540-4f5f-824e-5a361c4593c3,Healthcare Technologies Ltd.,1986-09-02,Israel,14,,305-211-0620,info@healthcaretechnologiesltd.org
246,7f137be3-f600-47f4-ba44-0a590c4f0c12,Companhia de Alimentos Fargo,1967-08-03,Argentina,20,,809-403-0198,info@companhiadealimentosfargo.org
247,f6fe40cb-8dca-4194-bfba-37d9fd4fc269,Amway Japan Ltd.,1962-04-01,Japan,24,,682-707-5100,reach@amwayjapanltd.org
248,1f3292f3-ab04-49c9-95f5-4c487f789294,Espirito Santo Financial Group S.A.,1983-01-31,Luxembourg,23,,804-640-2229,enquiries@espiritosantofinancialgroupsa.org
249,91fa332f-3000-4d8e-acc4-c1a298afd7d6,Optibase Ltd.,1989-12-20,Israel,5,,234-187-9212,marketing@optibaseltd.org
250,ab7cded5-f9ec-4a64-855a-a22fca39c5de,Barclays plc,1976-08-09,United Kingdom,41,,309-685-8132,headquarters@barclaysplc.org
251,28490162-1a4d-4d52-b264-f99dd47c17eb,Metso Oy,1979-09-15,Finland,10,,215-124-3520,contact@metsooy.org
252,8767c82b-389a-405f-a384-42a669a913d4,Fahnestock Viner Holdings Inc.,1974-02-19,Canada,30,,943-432-2214,contact@fahnestockvinerholdingsinc.org
253,164f5888-fad0-4347-bd1c-384cb5052ab6,Mitsui & Company Ltd.,1974-03-11,Japan,39,,727-858-8574,headquarters@mitsuicompanyltd.org
254,879027c6-5ee8-45bc-b625-edd0948f1948,Telecomunicaios de Sao Paulo S.A. - Telesp,1980-09-23,Brazil,29,,501-059-4116,headquarters@telecomunicaiosdesaopaulosatelesp.org
255,b1922a4e-ca7b-4bab-addf-5c6896eb95b8,Pohang Iron & Steel Co. Ltd.,1979-06-06,Korea,44,,319-816-2694,enquiries@pohangironsteelcoltd.org
256,7453dacb-782f-44c1-b58b-d193257305b4,Energy Power Systems Ltd.,1961-07-09,Canada,10,,934-232-9655,headquarters@energypowersystemsltd.org
257,c1349f5e-884c-4871-8c4c-6e3f48662ae2,BCI Telecom Holding Inc.,1973-02-04,Canada,36,,567-657-5046,contact@bcitelecomholdinginc.org
258,d97c460b-2cf3-4673-8f83-d47654b2ccfd,Fomento Economico Mexicano S.A. de C.V.,1987-02-15,Mexico,18,,332-716-9784,sales@fomentoeconomicomexicanosadecv.org
259,6c3d6e33-88f0-47be-82f9-95a8ba25e2c4,France Telecom,1980-10-28,France,31,,146-355-7955,info@francetelecom.org
260,07e23721-aa30-491c-bb50-4ce50b5ddfcd,Magic Software Enterprises Ltd.,1977-09-23,Israel,36,,661-322-8750,marketing@magicsoftwareenterprisesltd.org
261,316863c9-5912-49fe-8673-cc065ee6d17b,SmarTire Systems Inc.,1981-05-27,Canada,22,,850-443-5154,contact@smartiresystemsinc.org
262,6c3d6e33-88f0-47be-82f9-95a8ba25e2c4,France Telecom,1973-01-06,France,27,,146-355-7955,info@francetelecom.org
263,450844b3-4c25-483d-ba0f-f2793bc07cd7,TAT Technologies Ltd.,1994-05-28,Israel,17,,738-582-2813,marketing@tattechnologiesltd.org
264,aa0b3155-d1c5-4c28-aad7-df5332577be9,Manhattan Minerals Corp.,1995-06-17,Canada,35,,397-568-3887,info@manhattanmineralscorp.org
265,80c998bd-2e8b-490e-ba5b-f35edc864bc8,Transcom Worldwide S.A.,1990-07-27,Luxembourg,24,,435-022-4262,marketing@transcomworldwidesa.org
266,d177187e-f5f8-4075-802d-4eba2c3d74d1,Creo Products Inc.,1966-11-23,Canada,20,,438-022-6732,marketing@creoproductsinc.org
267,87bd32fa-1285-497c-88e7-7223b272c37d,BVR Technologies Ltd.,1993-02-11,Israel,44,,723-680-5248,info@bvrtechnologiesltd.org
268,7afcf249-1d1d-468a-9eba-86f0baf22823,Callahan Nordheim-Westfalen GmbH,1965-10-03,Germany,35,,545-005-2052,marketing@callahannordheimwestfalengmbh.org
269,4768a111-8e9b-4bea-a463-1b7083067e28,Eltek Ltd.,1974-10-03,Israel,7,,743-578-7562,info@eltekltd.org
270,822205ca-54c3-4eff-b154-cf0ae728c2e4,Telus Corp.,1991-12-23,Canada,17,,639-135-0812,hr@teluscorp.org
271,c26534a2-2c34-4e64-a034-d4149459f89c,Chipmos Technologies (Bermuda) Ltd.,1992-09-01,Bermuda,33,,617-095-9460,marketing@chipmostechnologiesbermudaltd.org
272,ddb4f608-5ce9-4325-b0d4-04fa067e18e6,Imax Corp.,1984-09-09,Canada,25,,841-335-1264,sales@imaxcorp.org
273,3636845a-01cd-4a47-9e80-5393bec77a4a,Biovail Corporation,1981-10-14,Canada,39,,690-180-6685,marketing@biovailcorporation.org
274,d5155326-1bc4-4a65-8577-e47b86e0ae34,Coles Myer Ltd.,1965-11-08,Australia,29,,437-026-6661,enquiries@colesmyerltd.org
275,879027c6-5ee8-45bc-b625-edd0948f1948,Telecomunicaios de Sao Paulo S.A. - Telesp,1983-12-06,Brazil,42,,501-059-4116,info@telecomunicaiosdesaopaulosatelesp.org
276,bb4bf6e2-d889-4784-a7f0-28b20d56d5e7,Agrium Inc.,1992-06-28,Canada,35,,601-346-6215,marketing@agriuminc.org
277,73a32931-82f7-4fa8-94b0-2b4ad2eba232,Continental Energy Corp,1982-12-01,Canada,24,,889-437-3270,hr@continentalenergycorp.org
278,8f5755b2-d6c1-45c7-85f9-426bb66154e2,Compania de Telecomunicaciones de Chile S.A.,1991-10-17,Chile,14,,945-390-2676,headquarters@companiadetelecomunicacionesdechilesa.org
279,f6809789-4945-4de5-8849-46dfcfe81c7e,Breakwater Resources Ltd.,1971-04-01,Canada,37,,345-380-3935,marketing@breakwaterresourcesltd.org
280,9aa7a8fe-9444-40b5-87ff-f47262d1f155,Philips Electronics N.V.,1969-05-03,Netherlands,29,,167-142-3111,contact@philipselectronicsnv.org
281,5d3fbe98-0336-4cf3-a1a9-a08c2a15c4ff,ASML Holding N.V.,1986-04-13,Netherlands,37,,391-637-7022,enquiries@asmlholdingnv.org
282,481d4872-970a-42db-988e-83b4f5232472,Arcadis N.V.,1988-12-12,Netherlands,39,,948-812-7365,marketing@arcadisnv.org
283,337e67a8-e6da-4126-9139-b729254cc7f7,TLC The Laser Center Inc.,1985-05-10,Canada,13,,580-023-4476,hr@tlcthelasercenterinc.org
284,e2ad5eb8-5434-43f8-a079-3f51c22f9b82,China Mobile (Hong Kong) Ltd.,1968-07-30,Hong Kong,45,,914-318-8350,hr@chinamobilehongkongltd.org
285,07f449c3-948c-4671-a4c4-06749a421ca4,"Millenium Seacarriers, Inc.",1975-07-05,Cayman Islands,44,,642-355-7259,sales@milleniumseacarriersinc.org
286,046db33b-adef-450a-9cf9-702e8ecc5dd9,Tefron Ltd.,1988-03-17,Israel,43,,288-456-5698,reach@tefronltd.org
287,6c3d6e33-88f0-47be-82f9-95a8ba25e2c4,France Telecom,1976-05-28,France,35,,146-355-7955,headquarters@francetelecom.org
288,f13489c4-4d0d-4a20-b880-60805cdc3dda,Beijing Yanhua Petrochemical Co. Ltd.,1965-03-13,China,21,,891-363-7059,marketing@beijingyanhuapetrochemicalcoltd.org
289,9bf728ed-a28e-43ad-af38-7bf05483fdd6,IFCO Systems N.V.,1984-03-08,Netherlands,31,,200-530-5730,headquarters@ifcosystemsnv.org
290,fbde3759-6585-4d3d-9be2-f9d08d646816,Consortium G Dina Group S.A. de C.V.,1966-02-23,Mexico,28,,813-639-7132,headquarters@consortiumgdinagroupsadecv.org
291,9c2b44d0-db9e-4a3c-9b5e-5352ba1ecf6a,Seat Pagine Gialle S.p.A.,1984-06-25,Italy,9,,844-649-1277,headquarters@seatpaginegiallespa.org
292,d177187e-f5f8-4075-802d-4eba2c3d74d1,Creo Products Inc.,1975-02-11,Canada,21,,438-022-6732,hr@creoproductsinc.org
293,b8119048-89cf-4b79-870d-0b14da79388f,Acetex Corp.,1965-08-12,Canada,38,,618-404-3261,enquiries@acetexcorp.org
294,c8606cf7-7aa8-41e1-aaac-0219e26d806b,Bell Canada,1991-04-26,Canada,26,,699-162-6340,headquarters@bellcanada.org
295,bd07b0af-aca4-4985-8159-945a8e24cee6,Crystallex International Corp.,1978-07-21,Canada,9,,671-034-3321,reach@crystallexinternationalcorp.org
296,6c459f21-c15c-42fc-bf23-aa7a02227ac9,SAES Getters S.p.A.,1961-07-19,Italy,17,,669-509-0411,marketing@saesgettersspa.org
297,b7525821-270a-4c2f-a907-6643968d0c49,Berkley Resources Inc.,1966-06-17,Canada,20,,109-494-4891,info@berkleyresourcesinc.org
298,e7df77d2-7673-4131-824b-a14e600e4c08,Premier Farnell plc,1960-10-25,United Kingdom,8,,974-731-6830,marketing@premierfarnellplc.org
299,5983a70e-fa80-4d1e-8e42-710b30bbc30e,Perdigao S.A.,1986-08-28,Brazil,22,,334-573-1181,marketing@perdigaosa.org
300,b549ff49-08ca-4ee3-abd2-9217d2bb87df,Companhia Vale de Rio Doce S.A.,1979-01-02,Brazil,30,,479-006-7113,marketing@companhiavalederiodocesa.org
301,e7347384-b00b-40d4-9315-825489288b78,Unibanco Holdings S.A.,1982-06-09,Brazil,15,,995-069-6143,headquarters@unibancoholdingssa.org
302,75518b01-bf6b-4616-a838-9ad8dc0da54c,San Antonios Resources Inc.,1960-06-05,Canada,10,,765-167-6620,contact@sanantoniosresourcesinc.org
303,c4337ddf-dd66-4009-a678-fd11c7163d83,"PSi Technologies Holdings, Inc.",1991-11-21,Philippines,11,,722-801-1152,headquarters@psitechnologiesholdingsinc.org
304,6c981870-519c-4554-8d13-2e4c24626bd9,Accelio Corp.,1978-02-02,Canada,47,,770-699-0622,info@acceliocorp.org
305,9f7f495d-d9be-4fd9-9851-d125b0ebaf11,Cenargo International plc,1975-07-12,United Kingdom,45,,379-136-1405,reach@cenargointernationalplc.org
306,e3b3e7e2-68c8-4d16-bfb9-db44db591c70,British Energy plc,1990-10-07,United Kingdom,17,,664-230-8289,sales@britishenergyplc.org
307,187fb374-4147-4e51-a1fb-4c50dc8c2a5b,Eimo Oyj,1968-09-05,Finland,29,,528-714-2054,reach@eimooyj.org
308,890d3d0b-72f9-4fde-ab8d-b7d9de3247c5,Citadel Gold Mines Inc.,1979-05-10,Canada,17,,120-094-0104,reach@citadelgoldminesinc.org
309,097c402c-3cfd-4060-9a09-0d2e6ad5d5ed,Compania Anonima Nacional Telefonos de Venezuela S.A.,1962-10-11,Venezuela,47,,435-812-4937,enquiries@companiaanonimanacionaltelefonosdevenezuelasa.org
310,e31632a6-0b48-42d8-bf4e-4d4a1e0f884f,TVX Gold Inc.,1979-03-29,Canada,9,,817-205-4178,sales@tvxgoldinc.org
311,b701ad89-f7ab-4686-b454-1cd90ed76231,Royal Dutch Petroleum Co.,1992-01-08,Netherlands,38,,586-602-2734,info@royaldutchpetroleumco.org
312,d246de4b-28cb-4db7-855c-a68d1dcb06a1,Sapiens International Corp. N.V.,1965-09-03,Neth. Antilles,23,,721-576-7192,contact@sapiensinternationalcorpnv.org
313,73a32931-82f7-4fa8-94b0-2b4ad2eba232,Continental Energy Corp,1981-01-15,Canada,29,,889-437-3270,headquarters@continentalenergycorp.org
314,fbde3759-6585-4d3d-9be2-f9d08d646816,Consortium G Dina Group S.A. de C.V.,1976-09-10,Mexico,25,,813-639-7132,marketing@consortiumgdinagroupsadecv.org
315,71c57fe7-7e30-42d7-bc32-b692cb5cdb88,Open Text Co.,1992-08-27,Canada,16,,483-737-4245,headquarters@opentextco.org
316,d29b20ca-9143-4a60-b5d7-948f041c5728,WPP Group plc,1977-12-14,United Kingdom,29,,696-389-1265,sales@wppgroupplc.org
317,932ef30d-5ad0-49d0-87b4-cad09b88f167,Moore Corp. Ltd.,1996-07-06,Canada,11,,526-722-9523,headquarters@moorecorpltd.org
318,9585db25-63f2-4373-be3f-ee8ac13744f1,Electrochemical Industries 1952 Ltd.,1966-12-28,Israel,19,,542-533-7652,hr@electrochemicalindustries1952ltd.org
319,09e4c52e-e21e-4782-8453-090725f64d63,Sinopec Shanghai Petrochemical Co. Ltd.,1993-09-29,China,32,,105-356-9681,hr@sinopecshanghaipetrochemicalcoltd.org
320,b42bebbb-8816-43d6-8bbe-6bcc14503e75,Corus Group plc,1963-11-26,United Kingdom,18,,475-550-4773,info@corusgroupplc.org
321,c544a756-e319-4bbc-b696-148c5a9e5ba8,Canon Inc.,1992-08-15,Japan,9,,749-632-2495,headquarters@canoninc.org
322,131c7376-569d-4314-92d2-9cc852f7e3dd,Eurozinc Mining Corp.,1985-10-27,Canada,16,,648-846-3174,reach@eurozincminingcorp.org
323,c65105b7-201b-4b4e-bcb0-8f9fcf0e05cf,Converium Holding AG,1995-12-17,Switzerland,35,,884-432-1321,reach@converiumholdingag.org
324,93d77730-d9c8-4838-9573-aa7eb97eddf7,Unibanco-Uniao de Bancos Brasileiros S.A.,1983-01-01,Brazil,49,,343-738-6539,sales@unibancouniaodebancosbrasileirossa.org
325,c544a756-e319-4bbc-b696-148c5a9e5ba8,Canon Inc.,1989-08-11,Japan,40,,749-632-2495,contact@canoninc.org
326,c32c5884-81b4-4fe9-af7d-f96947ae22f9,Empresas ICA Sociedad Controladora S.A.,1963-03-21,Mexico,46,,794-348-1968,reach@empresasicasociedadcontroladorasa.org
327,988142f3-f5e7-4fea-95ec-8bb7e3653bcc,Noranda Inc.,1982-10-14,Canada,45,,339-873-6067,sales@norandainc.org
328,c85d855c-d916-4c89-b981-015899b19d0e,"Grupo TMM, S.A. de C.V.",1977-05-26,Mexico,36,,170-148-7483,marketing@grupotmmsadecv.org
329,40bbe42d-7de1-4309-afd1-1477e47985ea,Tele Norte Leste Participacoes S.A.,1988-10-09,Brazil,28,,871-163-4156,hr@telenortelesteparticipacoessa.org
330,293b06df-a601-41d8-8f18-70e9e43b3f84,Westaim Corp.,1971-07-30,Canada,29,,771-100-5580,info@westaimcorp.org
331,16317793-2e53-4038-88ba-1c8432ef815e,DF China Technology Inc.,1992-08-20,British Virgin Islands,35,,868-542-0899,reach@dfchinatechnologyinc.org
332,4b155f57-c19a-4171-b882-eba3e8acbeb4,Syngenta AG,1987-07-25,Switzerland,16,,762-744-6125,sales@syngentaag.org
333,681a8c0f-9278-4509-8092-7d4c175da785,T.V.G. Technologies Ltd.,1965-03-19,Israel,33,,915-714-3974,hr@tvgtechnologiesltd.org
334,3746b62b-0a8d-47f1-a9b7-d82dafa6b6ca,Aladdin Knowledge Systems Ltd.,1981-03-18,Israel,23,,106-604-0917,info@aladdinknowledgesystemsltd.org
335,a83d9e2a-9ff5-487a-bdb3-91a69b3e0038,Datawave Systems Inc.,1969-12-25,Canada,28,,333-102-5038,hr@datawavesystemsinc.org
336,683ff7d1-cf97-4138-9bcc-994cf04406f7,M-Systems Flash Disk Pioneers Ltd.,1962-12-21,Israel,40,,426-126-4459,contact@msystemsflashdiskpioneersltd.org
337,a46d46ae-754b-42c6-802a-4ce0154cebab,Realax Software AG,1995-03-08,Germany,15,,798-048-8601,headquarters@realaxsoftwareag.org
338,7df1b535-1387-4b16-9b1e-bfa9d09bd08b,Infovista S.A.,1987-05-07,France,31,,557-318-3684,info@infovistasa.org
339,00a282dc-cbaa-4e38-af04-1d855e98ffcc,"Micrologix Biotech, Inc.",1993-11-12,Canada,29,,356-717-3539,headquarters@micrologixbiotechinc.org
340,13e4755a-0eed-42b5-90b5-907b04bd055e,Hollinger Inc.,1992-06-14,Canada,17,,351-025-1952,info@hollingerinc.org
341,5a0711b4-39a6-4021-9d62-2e77a2c179ad,724 Solutions Inc.,1966-11-23,Canada,22,,303-078-0006,hr@724solutionsinc.org
342,ae6781e2-d1f0-4464-9256-58c53e4fb377,Quebecor World Inc.,1976-11-06,Canada,24,,157-034-6776,contact@quebecorworldinc.org
343,b4e16e8e-424e-4afc-a06f-026083ab77a8,TDL Infomedia Group plc,1988-11-24,United Kingdom,25,,507-839-0049,sales@tdlinfomediagroupplc.org
344,e0daf120-b55f-49a4-a1a7-3e2839ff05bb,Triple P N.V.,1975-09-26,Netherlands,23,,365-814-0597,enquiries@triplepnv.org
345,24f568ca-e250-46d3-b333-af7405a433ea,Orthofix International N.V.,1990-03-28,Neth. Antilles,5,,191-710-9269,hr@orthofixinternationalnv.org
346,9e7755a6-455c-4eed-b6b9-96621311dd78,BOS Better Online Solutions Ltd.,1968-11-03,Israel,45,,574-377-0202,info@bosbetteronlinesolutionsltd.org
