registeration number,name,establied date,country,number of employes,purpose,phone number,email
2c81b586-05ff-450a-9ef3-8ca50789b741,Videsh Sanchar Nigam Ltd.,1/23/1974,India,48,,741-418-5635,sales@videshsancharnigamltd.org
df697864-7aa9-429b-9f23-c746795feb51,UPM-Kymmene OYJ,5/31/1982,Finland,18,,748-460-3007,headquarters@upmkymmeneoyj.org
bbb7f88a-65ac-48be-a87c-a97a480e4496,Pro-Market Global plc,1/7/1976,United Kingdom,43,,346-661-2857,sales@promarketglobalplc.org
36c0dd63-ee47-46c2-b3d6-4232b69bef11,HQI Translec Chile S.A.,10/19/1966,Chile,27,,373-757-3971,headquarters@hqitranslecchilesa.org
811afa92-f690-4802-81fb-d508ddc90c21,Sopheon plc,4/12/1985,United Kingdom,19,,569-030-8061,hr@sopheonplc.org
608ae2fe-6074-4d38-8489-ffb1816b3d13,Endesa S.A.,12/8/1989,Spain,25,,896-485-9630,hr@endesasa.org
628695e7-ccfb-42e3-9fc7-b7ff19c793ea,Lastminute.com plc,1/21/1984,United Kingdom,10,,483-652-0577,marketing@lastminutecomplc.org
1ebafad4-f266-488b-a1b4-ead5f55ce024,"Cableuropa, S.A.",6/20/1991,United Kingdom,38,,655-365-8384,marketing@cableuropasa.org
572b653a-f8b7-4d25-9a53-ce442068728c,TotalFinaElf S.A.,4/3/1976,France,33,,720-163-2029,hr@totalfinaelfsa.org
34e6a2ec-59e8-4a54-81c5-a9a826d1bbee,Silverado Gold Mines Ltd.,12/6/1964,Canada,7,,243-011-9217,sales@silveradogoldminesltd.org
1709aab6-3555-42ea-97e0-b65a4f6db2db,Telemig Celular Participacoes S.A.,1/17/1994,Brazil,33,,630-379-6809,sales@telemigcelularparticipacoessa.org
fc509add-4f09-457e-942a-fdf64034a302,"Portugal Telecom, SGPS, S.A.",9/10/1971,Portugal,48,,439-227-8263,info@portugaltelecomsgpssa.org
1c775305-6d45-40ea-9b74-1927a89739e7,New Millennium Metals Corp.,1/28/1965,Canada,28,,945-611-8884,headquarters@newmillenniummetalscorp.org
483bab6c-bfd0-4b3c-b6ee-740678433297,Formula Systems (1985) Ltd.,6/13/1961,Israel,45,,506-738-8116,marketing@formulasystems1985ltd.org
5ad1fa70-f441-42c0-b0b9-f6eff4623614,Talisman Enterprise Inc.,10/22/1982,Canada,29,,277-421-1794,headquarters@talismanenterpriseinc.org
ba24b071-2215-436d-9999-1850bb6acd28,Lafarge,10/19/1988,France,37,,378-482-1674,sales@lafarge.org
3d4c1bad-ff65-425d-bd32-b36135400743,ICICI Bank Ltd.,9/16/1995,India,20,,901-228-1304,contact@icicibankltd.org
c434077a-a4b9-4a2b-9c22-d59fb66af8e5,China Yuchai International Ltd.,4/21/1987,Bermuda,35,,303-120-3161,headquarters@chinayuchaiinternationalltd.org
ccb4c82a-f876-45e8-ac90-46f742f3e7f8,Grupo Radio Centro S.A. de C.V.,10/9/1987,Mexico,43,,760-352-1764,reach@gruporadiocentrosadecv.org
eb8f30a9-f915-4900-ae09-eea34bd4abf6,Telefonica del Peru S.A.,2/23/1967,Peru,48,,513-555-9036,sales@telefonicadelperusa.org
0c9796ab-95ff-4e78-91d3-6e63bb415b5a,Logitech International S.A.,4/12/1992,Switzerland,9,,618-583-4315,headquarters@logitechinternationalsa.org
c5913a1e-63f3-4ecb-ad67-76910e437e53,ASM International N.V.,1/20/1997,Netherlands,27,,369-632-7782,info@asminternationalnv.org
a2f063b8-69c5-4e72-a228-a78bd198491f,Dr. Reddy's Laboratories Ltd.,12/4/1994,India,48,,406-245-8078,headquarters@drreddyslaboratoriesltd.org
9871f070-0763-4d62-bb8a-ce9d1daef497,CTI Holdings S.A.,8/25/1961,Argentina,8,,646-123-1258,sales@ctiholdingssa.org
76061313-ebcf-49b8-b7a2-278ce4236921,Millar Western Forest Products Ltd.,8/7/1991,Canada,45,,984-637-3832,marketing@millarwesternforestproductsltd.org
940197ff-21a7-4911-85ba-123f71ab5779,CP Ships Ltd.,11/25/1979,Canada,18,,512-887-1880,contact@cpshipsltd.org
bfabf730-39db-4842-8fb3-fb913235c555,Stressgen Biotechnologies Corp.,1/10/1972,Canada,26,,663-754-4064,marketing@stressgenbiotechnologiescorp.org
ff74ca5a-5339-4e65-b83c-982f1f2588af,Capital Environmental Resource Inc.,2/27/1987,Canada,18,,960-195-7038,sales@capitalenvironmentalresourceinc.org
8cf6bbd6-0721-4e96-92ae-aded08847634,Tecnomatix Technologies Ltd.,8/6/1961,Israel,14,,968-167-4350,headquarters@tecnomatixtechnologiesltd.org
0d46f44f-fcf3-4c1b-b4bf-7938a0df473c,Fantom Technologies Inc.,10/9/1991,Canada,30,,874-420-3357,sales@fantomtechnologiesinc.org
33688414-feb0-4883-a67e-2457091aaeac,Biora AB,1/21/1977,Sweden,40,,635-821-0151,contact@bioraab.org
b810e1a8-c926-4619-ae35-6ed0c1c37136,China Petroleum & Chemical Corp. (Sinopec),8/25/1966,China,8,,983-304-6020,enquiries@chinapetroleumchemicalcorpsinopec.org
4636cd62-4915-404c-b4f2-05dcda8fb27c,Asia Pacific Wire & Cable Corp. Ltd.,8/15/1985,Bermuda,43,,678-278-0908,headquarters@asiapacificwirecablecorpltd.org
a2c5f68c-deb3-44e8-8dbc-08a0d5300070,Avecia Group plc,11/21/1977,United Kingdom,40,,616-754-8943,hr@aveciagroupplc.org
d5827aae-00a8-4988-a65c-9057d9aedea6,Parthus Technologies plc,12/18/1965,Ireland,34,,311-227-9572,contact@parthustechnologiesplc.org
044e51d7-a6e5-4645-8a2b-97f40f14191c,"Fording, Inc.",6/11/1972,Canada,39,,814-665-4943,enquiries@fordinginc.org
f7c0f3bb-7cbe-4ae8-b1e5-a938c28eb641,International Hi Tech Industries Inc.,12/19/1986,Canada,40,,323-085-3348,enquiries@internationalhitechindustriesinc.org
8122c910-0563-44b7-baf6-fa2d1f2e2f86,Gallaher Group plc,4/8/1960,United Kingdom,12,,584-048-5236,headquarters@gallahergroupplc.org
72efe5b7-c8f7-42b2-8434-b5bddc0f0675,PetroChina Co. Ltd.,2/24/1982,China,35,,639-008-4277,reach@petrochinacoltd.org
4c19aa78-8bb2-4618-984e-21885cc57173,China Enterprises Ltd.,7/29/1976,Bermuda,37,,278-074-9627,info@chinaenterprisesltd.org
1d192daa-4b92-4b11-8e34-b41057dc8740,Versatel Telecom International N.V.,10/25/1984,Netherlands,13,,620-661-9457,marketing@versateltelecominternationalnv.org
ef56a30f-8271-4e01-b240-b582d529ed44,Equant N.V.,1/26/1965,Netherlands,22,,474-280-6234,contact@equantnv.org
c5913a1e-63f3-4ecb-ad67-76910e437e53,ASM International N.V.,3/16/1993,Netherlands,38,,369-632-7782,reach@asminternationalnv.org
f26e1fe0-b49d-478b-bb9c-ffef7e26140d,Brilliance China Automotive Holdings Ltd.,1/20/1981,Bermuda,10,,212-723-2273,headquarters@brilliancechinaautomotiveholdingsltd.org
bcf0fa1c-cba5-46df-8e98-90d6f84e7505,Datalex plc,3/20/1982,Ireland,38,,519-322-8358,sales@datalexplc.org
dd369250-98a3-4669-b741-f9fe23fc3f07,Rockwell Ventures Inc.,9/16/1981,Canada,5,,332-144-5183,info@rockwellventuresinc.org
3780e67b-8aea-403e-9fb1-6771cbd62a84,Cade Struktur Corp.,11/8/1977,Canada,43,,585-024-3628,hr@cadestrukturcorp.org
47e1947c-0142-4d23-bb62-3eb4f69145f6,LJ International Ltd.,5/20/1969,British Virgin Islands,39,,480-502-7258,hr@ljinternationalltd.org
7afe6412-5d22-4fe8-a04b-73dfffacb0ad,Engel General Developers Ltd.,9/23/1983,Israel,41,,125-729-9354,marketing@engelgeneraldevelopersltd.org
67fdea6f-b070-47ec-992d-a02c2e9954e1,Equity Finance Holding Corp.,8/10/1983,Belize,46,,827-643-5036,marketing@equityfinanceholdingcorp.org
5ef33c1c-0aad-4d6e-8c61-cb4ac4c125ca,Arcadis N.V.,8/28/1981,Netherlands,32,,172-015-4515,sales@arcadisnv.org
764b191d-66b9-468e-9909-c05103e09c68,API Electronics Group Inc.,3/10/1986,Canada,10,,239-028-1345,headquarters@apielectronicsgroupinc.org
4776f48f-03ff-4d9a-9b38-83b1c81a83fd,America Mineral Fields Inc.,8/5/1961,Canada,31,,123-494-8267,hr@americamineralfieldsinc.org
a5a8dd3b-ae06-478b-9127-32fcf7fb3854,Cryopack Industries Inc.,9/4/1996,Canada,31,,564-110-3761,reach@cryopackindustriesinc.org
5292bae6-c0d2-4438-9fcb-9c17902ffbfd,Northern Rock plc,3/1/1967,United Kingdom,33,,975-336-8855,info@northernrockplc.org
2d65683c-97b6-47d1-8c40-aa09627b689f,Biomira Inc.,7/18/1967,Canada,36,,138-548-7198,contact@biomirainc.org
73bda954-507c-493a-977a-4f5e2bd2fb42,Smith & Nephew plc,3/24/1974,United Kingdom,26,,546-397-3280,enquiries@smithnephewplc.org
73b4c455-086d-40d6-b551-ea9f7a3c808c,Birch Mountain Resources Ltd.,4/21/1995,Canada,17,,399-768-4769,reach@birchmountainresourcesltd.org
ac274db0-5709-490d-a613-1e9defe48f7a,Investors Group Inc.,2/14/1979,Canada,5,,279-555-8616,hr@investorsgroupinc.org
92499b94-aa84-4f84-92be-49e1b5e423ff,Canadian Natural Resources Ltd.,12/4/1967,Canada,39,,467-005-6799,headquarters@canadiannaturalresourcesltd.org
422decfe-bc0c-4136-9229-dc349879223f,Retalix Ltd.,12/16/1968,Israel,32,,262-329-1377,info@retalixltd.org
2677c4f9-becf-4ec4-a187-3954b17697b7,"Qiao Xing Universal Telephone, Inc.",1/14/1992,British Virgin Islands,40,,910-485-7311,contact@qiaoxinguniversaltelephoneinc.org
4cb086aa-8504-45e0-8329-0d39ebd6b16b,AimGlobal Technologies Co. Inc.,4/21/1978,Canada,32,,386-853-9838,reach@aimglobaltechnologiescoinc.org
0a5e4ce3-e160-4305-b9b5-45fdb3777e39,Abbey National plc,9/14/1964,United Kingdom,21,,233-139-6947,contact@abbeynationalplc.org
89054fd2-65a5-4726-bc56-5be922166ffe,Lihir Gold Ltd.,7/3/1970,Papua New Guinea,24,,306-268-4597,reach@lihirgoldltd.org
302fae2a-3dff-4de0-998f-dfb137c3f911,National Bank of Greece S.A.,12/4/1973,Greece,39,,940-874-1095,sales@nationalbankofgreecesa.org
a429d743-d3be-402e-a127-192457356501,Camuzzi Gas del Sur S.A.,4/20/1982,Argentina,37,,436-587-1517,enquiries@camuzzigasdelsursa.org
f667f4fa-d978-4931-aa7d-b1e14c900c4c,Quilmes Industrial Quinsa S.A.,1/14/1979,Luxembourg,49,,199-322-8088,reach@quilmesindustrialquinsasa.org
61659c8b-547d-4d30-aa7b-1379602ff774,Tramford International Ltd.,11/9/1965,British Virgin Islands,20,,432-762-1230,sales@tramfordinternationalltd.org
a693d618-b2e0-462d-a368-df8d62d2ff9a,Colt Telecom Group plc,4/2/1964,United Kingdom,13,,937-442-2645,contact@colttelecomgroupplc.org
17060fe2-650a-4c73-8041-1fbde19c0e23,Embraer-Empresa Brasileira de Aeronautica S.A.,5/22/1976,Brazil,43,,126-762-2395,info@embraerempresabrasileiradeaeronauticasa.org
3366869f-0835-4645-aace-1071859eeb42,Almaden Resource Corp.,1/30/1976,Canada,27,,981-093-3492,headquarters@almadenresourcecorp.org
c6ece0b0-3f86-454a-9570-65438ce59410,TradeRadius Online Inc.,7/9/1988,Canada,37,,426-108-8376,contact@traderadiusonlineinc.org
6e8c7bad-f306-4793-ab04-1e8faa276d26,Corus Entertainment Inc.,8/14/1975,Canada,17,,529-476-5999,sales@corusentertainmentinc.org
5bae21da-fbcf-4ca9-815d-c794b742cd75,Grupo Imsa S.A. de C.V.,3/4/1996,Mexico,15,,903-288-8364,hr@grupoimsasadecv.org
36726a2c-6d28-415c-ad2c-aa4979095d6d,Algoma Steel Inc.,3/11/1969,Canada,50,,336-468-7252,hr@algomasteelinc.org
4c71b15c-ceb6-4107-808d-ebc20477e3dc,Achieva Development Corp.,9/25/1968,Canada,48,,954-125-8549,sales@achievadevelopmentcorp.org
f59a604b-470b-4f52-b6b1-99cfb8625679,Potash Corp. of Saskatchewan,10/30/1975,Canada,9,,251-353-4010,hr@potashcorpofsaskatchewan.org
7bcf74eb-f62a-4f83-87e4-e6e01168a902,KLM Royal Dutch Airlines,11/21/1987,Netherlands,48,,436-828-4691,reach@klmroyaldutchairlines.org
0815f288-380b-4b4e-b263-1f75dd69b72b,AXA,7/25/1960,France,5,,409-122-5419,contact@axa.org
f8b54aa4-6103-4d52-8779-56411a905a5a,Oromin Explorations Ltd.,7/4/1984,Canada,43,,414-707-0493,enquiries@orominexplorationsltd.org
0f65cdd5-f74e-49a4-ad21-3c8390397dc0,Energy Power Systems Ltd.,3/2/1970,Canada,6,,795-098-8706,enquiries@energypowersystemsltd.org
706bae60-a570-488e-8a1f-3c03416cceec,Bracknell Corp.,10/20/1971,Canada,45,,598-240-5737,hr@bracknellcorp.org
5dad937a-ca05-4ff3-98e4-f4be777aa5f7,Qiagen N.V.,1/2/1978,Netherlands,22,,511-400-6183,sales@qiagennv.org
ba23f684-e6e1-4a63-a455-56599b6d4ca6,Tele Nordeste Celular Participacoes S.A.,8/11/1986,Brazil,39,,184-056-2664,marketing@telenordestecelularparticipacoessa.org
e83e0da1-0158-456a-9a02-4e7f88a9f2dd,Zi Corp.,12/16/1966,Canada,7,,411-645-6104,enquiries@zicorp.org
e6236d7c-58be-40d1-914c-ec904c91cf9a,IFCO Systems N.V.,9/25/1994,Netherlands,9,,632-834-1006,contact@ifcosystemsnv.org
72efe5b7-c8f7-42b2-8434-b5bddc0f0675,PetroChina Co. Ltd.,2/14/1985,China,12,,639-008-4277,contact@petrochinacoltd.org
ca63e4bc-4a66-4999-a2c1-7ea12d36b3d7,Compugen Ltd.,3/4/1964,Israel,30,,733-871-1143,info@compugenltd.org
288017e6-16b5-4ca7-a109-6d29c432f1dd,Arel Communications & Software Ltd.,9/15/1983,Israel,15,,133-328-0518,marketing@arelcommunicationssoftwareltd.org
5ebbb529-efa6-4952-a096-857dcd02c886,Eganagoldpfeil (Holdings) Ltd.,6/4/1984,Cayman Islands,19,,397-529-5341,hr@eganagoldpfeilholdingsltd.org
a1781ad1-3bc4-41a6-ae3e-da3c1c47a8a6,CNH Global N.V.,6/15/1986,Netherlands,12,,480-673-5681,marketing@cnhglobalnv.org
acb560e8-eef5-40b1-b028-15d89bd99300,Transglobe Energy Corp.,6/19/1975,Canada,5,,252-607-3644,info@transglobeenergycorp.org
0b5ca159-fbe6-4439-b2e7-692db68aadcd,Nippon Telegraph and Telephone Corp.,2/7/1989,Japan,21,,512-033-3982,contact@nippontelegraphandtelephonecorp.org
36f2c310-7d97-451e-9dbc-b765464caeca,MC Shipping Inc,6/24/1972,Liberia,6,,838-873-7706,sales@mcshippinginc.org
8b04f9b3-8b46-4aad-9863-0fc879108c37,Repadre Capital Corp.,12/2/1964,Canada,8,,271-497-3167,hr@repadrecapitalcorp.org
92499b94-aa84-4f84-92be-49e1b5e423ff,Canadian Natural Resources Ltd.,5/3/1961,Canada,15,,467-005-6799,hr@canadiannaturalresourcesltd.org
23d5751a-44cf-4542-99cd-ed42fb9729d6,Smedvig ASA,2/28/1980,Norway,43,,549-207-7269,headquarters@smedvigasa.org
e8dbd745-ae4b-41b7-a92b-5ec42a3b119e,Alberta Energy Co. Ltd.,3/29/1971,Canada,47,,226-492-2034,marketing@albertaenergycoltd.org
d9de09cb-aaef-4d25-a096-8cedec27e3f8,Taiwan Semiconductor Manufacturing Co. Ltd.,7/3/1961,Taiwan,37,,993-848-4134,marketing@taiwansemiconductormanufacturingcoltd.org
bb1ffc85-563d-49a7-9688-6c5688ba79ed,Regional Independent Media Group plc,1/7/1992,United Kingdom,36,,194-872-8593,contact@regionalindependentmediagroupplc.org
a62d6596-d188-4dcc-bae9-227a3c1f6033,A B Electrolux,10/11/1993,Sweden,41,,167-328-6241,reach@abelectrolux.org
b700a831-9993-4446-aa49-b2d3f351122c,Mercury Scheduling Systems Inc.,7/4/1979,Canada,18,,687-828-7488,headquarters@mercuryschedulingsystemsinc.org
4d3306be-30cd-4e30-8c1e-55f5d5cff19a,Barclays plc,6/4/1960,United Kingdom,9,,543-282-9386,marketing@barclaysplc.org
bb1e6ba9-3ab1-4c2b-85d5-801150f03d53,QLT Inc.,9/29/1962,Canada,11,,328-272-9133,headquarters@qltinc.org
4db913f5-b1aa-49df-b174-80199e72d763,Norampac Inc.,10/22/1995,Canada,17,,209-195-7294,contact@norampacinc.org
23d5751a-44cf-4542-99cd-ed42fb9729d6,Smedvig ASA,1/17/1992,Norway,35,,549-207-7269,marketing@smedvigasa.org
4921ce25-7826-4a7f-9a71-5410688537c9,Kowloon-Canton Railway Corp.,3/23/1986,Hong Kong,5,,542-370-0997,marketing@kowlooncantonrailwaycorp.org
73bda954-507c-493a-977a-4f5e2bd2fb42,Smith & Nephew plc,2/14/1986,United Kingdom,34,,546-397-3280,sales@smithnephewplc.org
60dcb249-98fd-4108-95d3-6610e68d9f8c,New Tel Ltd.,11/20/1982,Australia,37,,994-215-8206,contact@newtelltd.org
0eff9647-ed2a-4d96-bc9f-46c508fa50c5,SYNSORB Biotech Inc.,2/5/1975,Canada,37,,430-318-9955,info@synsorbbiotechinc.org
5fcfbad2-7b44-4d2e-bd42-a122900d3bc6,"Belmont Resources, Inc.",7/22/1990,Canada,10,,548-733-4605,info@belmontresourcesinc.org
1efb2857-458d-405b-a818-84974125ed42,"Envoy Communications Group, Inc.",2/21/1990,Canada,32,,543-221-4389,info@envoycommunicationsgroupinc.org
3d4c1bad-ff65-425d-bd32-b36135400743,ICICI Bank Ltd.,7/23/1974,India,30,,901-228-1304,hr@icicibankltd.org
fe190082-4e70-447e-b1dc-ac20c2ee5ab3,Canadian Imperial Bank of Commerce,1/9/1987,Canada,26,,820-696-2173,headquarters@canadianimperialbankofcommerce.org
07cc13b3-fd36-4b38-b91d-12b18827d7f8,Rosedale Decorative Products Ltd.,5/25/1983,Canada,15,,430-484-8163,headquarters@rosedaledecorativeproductsltd.org
42c9295d-b5d0-4f01-a1c7-66547dc1abd1,Alstom,1/4/1994,France,27,,740-295-9825,hr@alstom.org
d7f8a4cc-c09a-4cc8-bdc6-942f11793e87,"Kingsway Financial Services, Inc.",5/28/1992,Canada,36,,912-586-2598,enquiries@kingswayfinancialservicesinc.org
08a5d27e-10c3-4c93-a1f2-e1f41874d78c,Imperial Tobacco Group plc,10/4/1993,United Kingdom,22,,274-056-2879,enquiries@imperialtobaccogroupplc.org
94ebb942-83d6-4659-9077-2e1925b3ef8f,Crystal Graphite Corp.,7/19/1962,Canada,9,,221-537-3903,reach@crystalgraphitecorp.org
0a5e4ce3-e160-4305-b9b5-45fdb3777e39,Abbey National plc,10/17/1982,United Kingdom,43,,233-139-6947,headquarters@abbeynationalplc.org
2da33226-6f3d-4d20-beca-1caee549e823,ENI S.p.A.,12/20/1961,Italy,36,,509-575-1610,headquarters@enispa.org
9114e66d-d0a8-4f22-96bd-9585cc9fe2dc,Quebecor Media Inc.,8/29/1962,Canada,16,,984-193-5603,headquarters@quebecormediainc.org
4e0c5c12-5369-4677-9445-96f8c70065be,Starfield Resources Inc.,6/9/1996,Canada,5,,442-553-6971,marketing@starfieldresourcesinc.org
e6165599-25ab-410b-9863-2ce70958444a,Scottish Power plc,2/4/1991,United Kingdom,42,,269-005-3734,enquiries@scottishpowerplc.org
23ee4918-595f-4ad4-8e87-38b78c582697,Telecom Italia S.p.A.,9/11/1979,Italy,20,,560-759-3039,reach@telecomitaliaspa.org
d6f1382a-21c1-4405-95ac-d6c9dc401561,NDT Ventures Ltd.,12/6/1967,Canada,5,,181-653-7074,enquiries@ndtventuresltd.org
1b764e0d-368c-46cd-b56b-004bd2f6f1e2,TVX Gold Inc.,10/14/1979,Canada,34,,485-165-3868,enquiries@tvxgoldinc.org
3b0b8f13-3ebf-488d-bdc9-3a5f8c58258b,Reuters Group plc,6/15/1971,United Kingdom,48,,170-575-8508,hr@reutersgroupplc.org
2a050aa0-0581-4fa0-8d9f-ff455186cd6f,DSG International Ltd.,12/17/1996,British Virgin Islands,32,,112-299-4196,sales@dsginternationalltd.org
342311b0-c96b-4798-909f-a73ef63a09b0,Mobile Telesystems OJSC,10/18/1979,Russia,14,,234-787-6728,marketing@mobiletelesystemsojsc.org
9550a265-5b82-4647-9e86-489807eab15d,Santa Isabel S.A.,12/6/1970,Chile,38,,988-018-9361,info@santaisabelsa.org
d7f8a4cc-c09a-4cc8-bdc6-942f11793e87,"Kingsway Financial Services, Inc.",3/19/1969,Canada,45,,912-586-2598,contact@kingswayfinancialservicesinc.org
edb402ee-0427-41ab-b3bb-03a238e467cc,Genset,7/17/1975,France,17,,194-791-7846,headquarters@genset.org
b04575ab-57a6-4892-a506-18c3a3833bfe,Fomento Economico Mexicano S.A. de C.V.,12/18/1960,Mexico,44,,304-380-1927,sales@fomentoeconomicomexicanosadecv.org
a9b56ce3-9b14-42cb-b947-9e61af1eb1ad,Industriforvaltnings AB Kinnevik,8/23/1995,Sweden,12,,801-338-3605,hr@industriforvaltningsabkinnevik.org
4e0632de-851b-483b-b9e9-c5cd433603fa,Dynamic Oil & Gas Ltd.,5/13/1965,Canada,27,,263-751-3055,info@dynamicoilgasltd.org
c5913a1e-63f3-4ecb-ad67-76910e437e53,ASM International N.V.,5/16/1992,Netherlands,26,,369-632-7782,sales@asminternationalnv.org
6faaf9fc-4960-4a7b-8b2d-84db11b54760,Marconi plc,9/20/1987,United Kingdom,44,,786-296-1005,marketing@marconiplc.org
c1d15a57-bcd8-4682-88b2-61a5a8178060,Hydro One Inc.,5/10/1972,Canada,7,,261-517-2403,hr@hydrooneinc.org
0d624b3f-ccf0-4594-8f93-8e7b5f2bad93,Canarc Resources Corp.,8/28/1975,Canada,19,,244-405-5401,enquiries@canarcresourcescorp.org
d49b698f-d2e6-4125-99bf-258be7e2b38e,Omninet International Ltd.,1/21/1986,Bermuda,14,,799-779-5881,headquarters@omninetinternationalltd.org
c0a41f92-934b-4064-b693-a2527c746dd1,Satelites Mexicanos S.A. de C.V.,6/22/1960,Mexico,32,,299-383-9975,info@satelitesmexicanossadecv.org
302fae2a-3dff-4de0-998f-dfb137c3f911,National Bank of Greece S.A.,12/25/1984,Greece,6,,940-874-1095,hr@nationalbankofgreecesa.org
f25e0284-5d9d-434e-8269-7ef8ce89e3e7,Secureview Systems Inc.,10/1/1976,Canada,5,,326-757-7075,contact@secureviewsystemsinc.org
682ca0b7-0b4f-45ba-82c3-271f467eafeb,Internet Gold - Golden Lines Ltd.,5/13/1985,Israel,11,,588-833-2775,headquarters@internetgoldgoldenlinesltd.org
7b96d4d1-ea65-43ad-a787-eea09932c5f3,SGL Carbon Aktiengesellschaft,4/7/1980,Germany,10,,318-011-6629,reach@sglcarbonaktiengesellschaft.org
d49b698f-d2e6-4125-99bf-258be7e2b38e,Omninet International Ltd.,1/20/1992,Bermuda,20,,799-779-5881,enquiries@omninetinternationalltd.org
36cc8347-ace9-4e9e-8c8c-eb2218b2acbf,Silver Standard Resources Inc.,1/4/1971,Canada,37,,147-489-0619,info@silverstandardresourcesinc.org
101def08-141f-4e24-866d-336ae642589d,Novogen Ltd.,8/4/1966,Australia,39,,662-459-6402,marketing@novogenltd.org
eb22a766-481f-42ef-b9e5-cde61afbe05b,Nord Pacific Ltd.,9/20/1984,Canada,27,,764-533-6785,contact@nordpacificltd.org
f13a13a2-77ae-42a9-b0f5-1ece757c5684,Triband Resource Corp.,3/28/1980,Canada,17,,263-777-2746,marketing@tribandresourcecorp.org
74b73347-6a9c-472f-880b-5e55117e5bb7,Trooper Technologies Inc.,10/24/1960,Canada,26,,649-485-2293,contact@troopertechnologiesinc.org
950e91d7-b218-4daa-ba2c-ca820fc2620c,Ayotte Music Inc.,5/19/1985,Canada,44,,520-073-8525,reach@ayottemusicinc.org
25c21b65-bccd-4863-83cf-1f427d0b7253,Eltek Ltd.,11/18/1984,Israel,26,,757-219-4442,reach@eltekltd.org
16feb674-4bae-49d5-a68c-a8eb2585fd5b,MDSI Mobile Data Solutions Inc.,2/14/1985,Canada,38,,475-874-7842,marketing@mdsimobiledatasolutionsinc.org
14a6654c-c249-42c9-a0bb-d8284cd730b5,"Asia Pacific Resources, Ltd.",2/10/1963,Canada,45,,108-397-0491,contact@asiapacificresourcesltd.org
db123ea2-3ec3-4a70-83b7-fbfef9920f0e,Cresud Sacif,11/8/1966,Argentina,18,,497-770-5721,info@cresudsacif.org
d2c570ac-3785-46cd-837e-d8a91c7836b1,Compania de Minas Buenaventura S.A.,9/6/1961,Peru,18,,479-735-3954,reach@companiademinasbuenaventurasa.org
c2cb4245-31f0-448d-8a7c-2b9ee3b40596,Telebras S.A.,2/18/1961,Brazil,42,,159-084-2810,info@telebrassa.org
25a20935-d90e-4b6d-934e-9e28a8aac4d7,Pacific Internet Ltd.,3/18/1972,Singapore,46,,561-135-5311,info@pacificinternetltd.org
be44c373-e023-4d19-9173-c67c9672cc78,Ricoh Company Ltd.,5/29/1992,Japan,34,,420-345-0095,headquarters@ricohcompanyltd.org
0f3e5157-2d9d-4678-91e2-447981f8badc,Pohang Iron & Steel Co. Ltd.,6/27/1985,Korea,10,,156-325-4460,sales@pohangironsteelcoltd.org
2d7fc353-f7b2-4a15-852b-bd5faac35cf2,Accelio Corp.,7/1/1989,Canada,39,,198-637-1144,contact@acceliocorp.org
b9e7941b-8650-4c87-b8b1-96f3d315dc3c,"Mitsubishi Tokyo Financial Group, Inc.",5/16/1964,Japan,16,,119-652-8729,info@mitsubishitokyofinancialgroupinc.org
23e10572-a526-43c3-ac3b-8e4e18cc45c8,Glamis Gold Ltd.,7/8/1963,Canada,20,,584-865-1663,reach@glamisgoldltd.org
4bacb6db-386b-4b0b-bed7-b5372c13f079,SBS Broadcasting S.A.,5/11/1978,Luxembourg,20,,691-802-7391,reach@sbsbroadcastingsa.org
4a0d0dde-68ae-412a-b952-2cf09da80308,Credicorp,5/28/1975,Bermuda,7,,192-105-6407,contact@credicorp.org
d0530c4d-8ffe-4333-a3c4-a33a1244dbc0,Randgold & Exploration Co. Ltd.,1/20/1983,South Africa,18,,782-124-6628,marketing@randgoldexplorationcoltd.org
94ebb942-83d6-4659-9077-2e1925b3ef8f,Crystal Graphite Corp.,4/7/1965,Canada,5,,221-537-3903,contact@crystalgraphitecorp.org
949ce9b2-aa35-4031-902a-49897009dd64,Stena Line AB,2/12/1976,Sweden,48,,682-250-6347,hr@stenalineab.org
aa2e4289-0992-4d98-a36f-a6c9fbfe14a0,Nera ASA,7/28/1966,Norway,7,,226-667-6167,enquiries@neraasa.org
ba1a5378-c510-4a9d-a03c-839a0d31d303,Merant plc,5/13/1969,United Kingdom,35,,690-471-3570,marketing@merantplc.org
a53304ae-95c7-4190-8938-5cd077632b87,Uniglobe.com Inc.,5/24/1982,Canada,46,,954-277-1381,headquarters@uniglobecominc.org
e0a289b7-d13a-4dcb-87bb-041b11c1f4cc,Tranz Rail Holdings Ltd.,7/25/1992,New Zealand,22,,732-203-7357,info@tranzrailholdingsltd.org
73cb67e8-3657-412a-9c3b-6215c520cebf,TransAlta Corp.,6/20/1978,Canada,46,,404-320-4613,hr@transaltacorp.org
936ae8cb-1817-4758-a69f-88097deb1208,Taro Pharmaceutical Industries Ltd.,7/20/1980,Israel,10,,887-588-7154,marketing@taropharmaceuticalindustriesltd.org
63fe6282-3a28-4c30-9fcf-8e7c973ba589,Publicis-Ariely Ltd.,1/14/1990,Israel,22,,623-346-8499,enquiries@publicisarielyltd.org
7e4fac04-abe4-4832-82a9-133179bede76,Thermo Tech Technologies Corp.,1/26/1997,Canada,47,,427-813-1438,enquiries@thermotechtechnologiescorp.org
